Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
social_thought_7_desc;Social Thought for the modern world;;;;;;;;;;;;;
political_thought_7;Modern Political Thought;;;;;;;;;;;;;
political_thought_7_desc;Political Thought for the modern world.;;;;;;;;;;;;;
psychology_7;Cognitive Psychology;;;;;;;;;;;;;
psychology_7_desc;The origin of cognitive psychology occurred in the 1960s in a break from behaviorism, which had held from the 1920s to 1950s that unobservable mental processes were outside of the realm of empirical science;;;;;;;;;;;;;
tech_power_7;Gas Turbine Electrical Generation;;;;;;;;;;;;;
tech_power_7_desc;Following development of a gas turbine-electric locomotive in 1948, GE installed its first commercial gas turbine for power generation—a 3.5-MW heavy-duty unit—at the Belle Isle Station owned by Oklahoma Gas & Electric in July 1949.;;;;;;;;;;;;;
mechanization_7;Mass Production;;;;;;;;;;;;;
mechanization_7_desc;Mass production is the manufacturing of large quantities of standardized products, often using assembly lines or automation technology.;;;;;;;;;;;;;
metallurgy_7;Petroleum Minerology;;;;;;;;;;;;
metallurgy_7_desc;Mining for the modern age;;;;;;;;;;;;;
tech_infrastructure_7;Asphalt Roads;;;;;;;;;;;;;
tech_infrastructure_7_desc;Asphalt (specifically, asphalt concrete), sometimes called flexible pavement due to the nature in which it distributes loads, has been widely used since the 1920s;;;;;;;;;;;;;
chemistry_and_electricity_7;Modern Science;;;;;;;;;;;;;
chemistry_and_electricity_7_desc;Modern science;;;;;;;;;;;;;
naval_doctrine_7;Carrier Doctrine;;;;;;;;;;;;;
naval_doctrine_7_desc;The increasing role of aircraft in naval operations requires new forms of operational thought;;;;;;;;;;;;;
ship_construction_7;Carrier Design;;;;;;;;;;;;;
ship_construction_7_desc;Modern technology allows the development of ships better than ever before;;;;;;;;;;;;;
naval_engineering_7;Naval Electrical Engineering;;;;;;;;;;;;;
naval_engineering_7_desc;Modern technology allows the development of ships better than ever before;;;;;;;;;;;;;
naval_science_7;Naval Operations;;;;;;;;;;;;;
naval_science_7_desc;Naval science for the modern age;;;;;;;;;;;;;
naval_leadership_7;Academic Naval Training;;;;;;;;;;;;;
naval_leadership_7_desc;Naval Training for the modern age;;;;;;;;;;;;;
lubrication_oil;Improved Lubricants;;;;;;;;;;;;;
lubrication_oil_desc;Traditionally, vegetable and seed oils were used to lubricate parts, but their inadequate performance could lead to power loss by as much as 50%. The discovery of petrolium distillates that were suitable for use as mineral oil lubricants allowed factories tailor the characteristics of each lubricant for each application, such as reducing friction and wear, washing away contaminants, transferring heat or power, and sealing gases.;;;;;;;;;;;;;
haber_process;Haber-Bosch Process;;;;;;;;;;;;;
haber_process_desc;The Haber–Bosch process is an artificial nitrogen fixation process which converts atmospheric nitrogen (N2) to ammonia (NH3) by a reaction with hydrogen (H2) using a metal catalyst under high temperatures and pressures. Before the development of the Haber process, it had been difficult to produce ammonia on an industrial scale, with early methods, such as the Birkeland–Eyde process and the Frank–Caro process, all highly inefficient.;;;;;;;;;;;;;
magnetic_separation;Magnetic Separation;;;;;;;;;;;;;
magnetic_separation_desc;Powerful magnets can attract iron-containing objects out of ore. It is often used to separate magnetic waste material, including nails, bolts, wires, and broken tools, that have fallen into mined ore, in order to prevent these metal shards from damaging ore processing equipment.;;;;;;;;;;;;;
leaded_gasoline;Petrol-Fuel Additives;;;;;;;;;;;;;
leaded_gasoline_desc;Tetraethyllead, abbreviated TEL, is a fuel additive that substantially improved vehicle performance and fuel economy by preventing engine knock and reducing valve wear. For mixing with raw gasoline, TEL was most commonly supplied in the form of "Ethyl Fluid", which consisted of TEL blended with 1,2-dichloroethane and 1,2-dibromoethane. It is highly toxic, with as little as 6 mL being enough to induce severe lead poisoning.;;;;;;;;;;;;;
rubber_n_plastic_additives;Rubber and Plastic Additives;;;;;;;;;;;;;
rubber_n_plastic_additives_desc;Additives are added to rubber and plastic to improve its properties. Carbon black could increase automotive tire road wear by 100X and tensile strength by as much as 1008 percent, and silica raises the elastic modulus while providing toughness and resistance to abrasion. Other protective chemicals such as amides, phenols, paraffin wax, and small amounts of metal can be added to prevent rubber degradation. Meanwhile, plasticizers, most commonly phthalate esters, are added to plastic and rubber to improve flexibility. Plasticizers are also be added to concrete to increase its strength and improving its self-repair capabilities.;;;;;;;;;;;;;
nuclear_theory;Nuclear Weapons Theory;;;;;;;;;;;;;
nuclear_theory_desc;New advances in physics are improving scientific knowledge of the atom.;;;;;;;;;;;;;
saturation_bombing_doctrine;Saturation Bombing Doctrine;;;;;;;;;;;;;
saturation_bombing_doctrine_desc;Due to the inaccuracy of unguided aerial bombs, many bombs are required for better chances of destroying the target. Constructing aircraft large enough to carry so many bombs and coordinating so many bombers to one area is difficult, but the results are devastating.;;;;;;;;;;;;;
army_motorization;Army Motorization;;;;;;;;;;;;;
army_motorization_desc;Increasing the use of unarmored vehicles for military transport improves mobility drastically.;;;;;;;;;;;;;
mechanized_assault_doctrine;Mechanized Assault Doctrine;;;;;;;;;;;;;
mechanized_assault_doctrine_desc;The strategic mobility of motorized and mechanized troops allow firepower to be quickly concentrated at critical regions of the battlefield.;;;;;;;;;;;;;
paratrooper_doctrine;Airborne Assault Doctrine;;;;;;;;;;;;;
paratrooper_doctrine_desc;Paratroopers are elite commandos exploiting the surprise of an airborne attack to capture key areas ahead of the land army.;;;;;;;;;;;;;
combined_arms_offensive;Combined Arms Doctrine;;;;;;;;;;;;;
combined_arms_offensive_desc;Cooperation between infantry, artillery, armor, and aircraft yields more than the sum of its parts.;;;;;;;;;;;;;
computerized_army_intelligence;Computerized Army Intelligence;;;;;;;;;;;;;
computerized_army_intelligence_desc;Computers vastly speed up encryption and decryption.;;;;;;;;;;;;;
portable_radio;Portable Radio;;;;;;;;;;;;;
portable_radio_desc;Two-way radios help squads keep in contact with their commanders. Large and bulky military backpack radios soon evolved into new, smaller designs which could be held entirely in the hand.;;;;;;;;;;;;;
early_warning_radar;Early Warning Radar;;;;;;;;;;;;;
early_warning_radar_desc;Radar was first used for long range detection of targets, to allow defenses to be alerted as early as possible. At this time, they were limited to about 160 to 240 km in range.;;;;;;;;;;;;;
motorized_recon;Motorized Reconnaissance;;;;;;;;;;;;;
motorized_recon_desc;Fast-moving vehicles give motorized and armored units an advantage in finding and exploiting weakly defended areas of the enemy line.;;;;;;;;;;;;;
operations_research;Operations Research;;;;;;;;;;;;;
operations_research_desc;Mathematical and statistical analyses improve decision making.;;;;;;;;;;;;;
air_to_air_radar;Air to Air Radar;;;;;;;;;;;;;
air_to_air_radar_desc;Mounting miniaturized radar sets onto aircraft gives an advantage in air detection and combat.;;;;;;;;;;;;;
self_propelled_artillery;Self-Propelled Artillery;;;;;;;;;;;;;
self_propelled_artillery_desc;The key advantage of self-propelled over towed artillery is that it can be brought into action much faster. Before the towed artillery can be used, it has to stop, unlimber and set up the guns. To move position, the guns must be limbered up again and brought—usually towed—to the new location. By comparison, self-propelled artillery can stop at a chosen location and begin firing almost immediately, then quickly move on to a new position. This shoot-and-scoot ability is very useful in a mobile conflict and particularly on the advance.;;;;;;;;;;;;;
rocket_artillery;Rocket Artillery;;;;;;;;;;;;;
rocket_artillery_desc;Rockets have been used in warfare ever since they were invented in medieval China. By the late nineteenth century, however, the use of military rockets declined due to improvements in the power and range of conventional artillery. Recent advances in rocketry permit rockets a place in the battlefield once again.;;;;;;;;;;;;;
proximity_fuze;Proximity Fuse;;;;;;;;;;;;;
proximity_fuze_desc;Fuses have been designed with a variety of sensors to make sure artillery shells explode as close to the target as possible.;;;;;;;;;;;;;
sloped_armor;Sloped Armor;;;;;;;;;;;;;
sloped_armor_desc;Sloping armor plates increases relative armor thickness, improves deflectability of the armor, and saves on surface area.;;;;;;;;;;;;;
main_battle_tank;Main Battle Tank;;;;;;;;;;;;;
main_battle_tank_desc;Earlier tanks were classified into light, medium, and heavy classes, but technological advancements in engines, suspension, and armor allowed one tank class to perform well in the former niches held by the earlier classes. This new class of tank was called the main battle tank, which soon replaced almost all other types of tanks.;;;;;;;;;;;;;
semi_automatic_rifle_armament;Semi-Automatic Rifle Main Armament;;;;;;;;;;;;;
semi_automatic_rifle_armament_desc;Semi-automatic rifles use part of the fired cartridge's energy to eject the case and load another cartridge into the chamber and could fire much faster than bolt-action rifles. Early models were unreliable or too complex for general use, but new gas-operated rifles resolved those issues.;;;;;;;;;;;;;
assault_rifle_experiments;Assault Rifle;;;;;;;;;;;;;
assault_rifle_experiments_desc;Assault rifles are bridge the gap between standard infantry rifles and machine pistols, that is to say, they fire an intermediate-power cartridge and are capable of both semi-automatic fire and fully automatic fire.;;;;;;;;;;;;;
shaped_charge;Shaped Charge;;;;;;;;;;;;;
shaped_charge_desc;The use of a liner to direct an explosion can increase armor piercing ability substantively.;;;;;;;;;;;;;
motorized_infantry_activation;Motorized Infantry;;;;;;;;;;;;;
motorized_infantry_activation_desc;Using motorized vehicles to transport infantry greatly increases tactical mobilty - at the cost of fuel.;;;;;;;;;;;;;
gun_and_bomb_sights;Gun and Bomb Sights;;;;;;;;;;;;;
gun_and_bomb_sights_desc;The advance of analog computers and autopilot systems have led to much better accuracy for both aircraft-mounted guns and bombs.;;;;;;;;;;;;;
remote_control;Remote Control;;;;;;;;;;;;;
remote_control_desc;Unmanned tanks and mines reduce the combat risk to soldiers and are usually controlled via towed cables or radio.;;;;;;;;;;;;;
rocket_powered_aircraft;Rocket Propelled Aircraft;;;;;;;;;;;;;
rocket_powered_aircraft_desc;Rockets are able to reach high speeds and altitudes rapidly but have small fuel capacity, thus being suitable only for interceptor aircraft.;;;;;;;;;;;;;
turbojet;First Generation Jet Aircraft;;;;;;;;;;;;;
turbojet_desc;Jet engines are derived from gas turbines, but use the exhaust of the turbine for propulsion. The first jet aircraft were much faster than their propeller-powered counterparts, but required much more maintenance due to the lack of steel alloys capable of withstanding the heat of the engine.;;;;;;;;;;;;;
strategic_rocket;Strategic Rocket;;;;;;;;;;;;;
strategic_rocket_desc;Rockets can be used for long-ranged bombardments.;;;;;;;;;;;;;
helicopter;Helicopter;;;;;;;;;;;;;
helicopter_desc;The ability to take off vertically and hover in place makes helicopters uniquely suitable for reconnaissance and emergency transport.;;;;;;;;;;;;;
hedge_funds;Hedge Funds;;;;;;;;;;;;;
hedge_funds_desc;Hedge funds seek to limit risk by spreading out investments across multiple positions.;;;;;;;;;;;;;
erik_lindahl;Erik Lindahl;;;;;;;;;;;;;
erik_lindahl_desc;Erik Lindahl posed the question of financing public goods in accordance with individual benefits. A Lindahl tax is a form of taxation in which people pay for public goods according to the amount of satisfaction or utility they derive from the consumption of an additional unit of the public good. If each person's tax price is set equal to the marginal benefits received at the ideal service level, each person is made better off by provision of the public good and may accordingly agree to have that service level provided. A Lindahl equilibrium describes how efficiency can be sustained in an economy with such taxes.;;;;;;;;;;;;;
howard_r_bowen;Howard R Bowen;;;;;;;;;;;;;
howard_r_bowen_desc;Howard Rothmann Bowen developed the Bowen's Revenue Theory of Costs, which states that the unit cost of education is determined by the amount of revenues currently available for education relative to enrollment.;;;;;;;;;;;;;
ragnar_frisch;Ragnar Frisch;;;;;;;;;;;;;
ragnar_frisch_desc;Ragnar Anton Kittil Frisch pioneered Econometrics, the application of statistical methods to economic data in order to give empirical content to economic relationships, and developed the terms Macroeconomics and Microeconomics to  describe economics of different scales.;;;;;;;;;;;;;
jan_tinbergen;Jan Tinbergen;;;;;;;;;;;;;
jan_tinbergen_desc;Jan Tinbergen developed some of the first macroeconometric models.;;;;;;;;;;;;;
adolf_a_berle;Adolf A Berle;;;;;;;;;;;;;
adolf_a_berle_desc;Adolf Augustus Berle Jr. was an American lawyer, educator, writer, and diplomat and was the author of The Modern Corporation and Private Property, a groundbreaking work on corporate governance.;;;;;;;;;;;;;
leonid_kantorovich;Leonid Kantorovich;;;;;;;;;;;;;
leonid_kantorovich_desc;Leonid Vitalyevich Kantorovich developed linear programming and used functional analysis to determine the optimal allocation of resources.;;;;;;;;;;;;;
john_hicks;John Hicks;;;;;;;;;;;;;
john_hicks_desc;Sir John Richards Hicks developed the consumer demand theory in microeconomics, the IS–LM model, extended general-equilibrium and value theory.;;;;;;;;;;;;;
paul_samuelson;Paul Samuelsom;;;;;;;;;;;;;
paul_samuelson_desc;Paul Anthony Samuelson is considered one of the founders of neo-Keynesian economics and a seminal figure in the development of neoclassical economics. He considered mathematics to be the "natural language" for economists.;;;;;;;;;;;;;
quantitative_easing;Quantative Easing;;;;;;;;;;;;;
quantitative_easing_desc;Quantitative easing (QE) is a monetary policy action where a central bank purchases predetermined amounts of government bonds or other financial assets in order to stimulate economic activity.;;;;;;;;;;;;;
human_relations_theory;Human Relations Theory;;;;;;;;;;;;;
human_relations_theory_desc;The Human Relations Theory emphasizes the need for managers to consider the needs of employees to improves productivity.;;;;;;;;;;;;;
rational_factory_layout;Rational Factory Layout;;;;;;;;;;;;;
rational_factory_layout_desc;Optimizing layout of factories speeds up work and reduces waste.;;;;;;;;;;;;;
closed_economy;Closed Economy;;;;;;;;;;;;;
closed_economy_desc;A closed economy, or autarky, is one that is self-sufficient and not dependent on global market fluctuations.;;;;;;;;;;;;;
hawthrone_study;Hawthrone Study;;;;;;;;;;;;;
hawthrone_study_desc;The Hawthrone Study proved that people change their behavior when they know they are being observed. This revealed a major flaw in prior studies trying to improve workplace productivity.;;;;;;;;;;;;;
palletization;Palletization;;;;;;;;;;;;;
palletization_desc;Standarized wooden pallets make hauling and transporting goods much more efficient.;;;;;;;;;;;;;
airliner;Commercial Air Transport;;;;;;;;;;;;;
airliner_desc;Early air transportation was developed from bomber aircraft, the only planes large enough to carry heavy loads and multiple passengers.;;;;;;;;;;;;;
telex;Teletype Network;;;;;;;;;;;;;
telex_desc;Teleprinters, evolved from telegram machines, can send text messages across the world.;;;;;;;;;;;;;
modern_literature;Modern Literature;;;;;;;;;;;;;
modern_literature_desc;Modern Literature;;;;;;;;;;;;;
modern_art;Modern Art;;;;;;;;;;;;;
modern_art_desc;Modern Art;;;;;;;;;;;;;
modern_music;Modern Music;;;;;;;;;;;;;
modern_music_desc;Modern Music;;;;;;;;;;;;;
television_networks;Television Networks;;;;;;;;;;;;;
television_networks_desc;Television Networks;;;;;;;;;;;;;
modern_architecture;Modern Architecture;;;;;;;;;;;;;
modern_architecture_desc;Modern Architecture;;;;;;;;;;;;;
neoclassical_music;Neoclassical Music;;;;;;;;;;;;;
neoclassical_music_desc;Neoclassical Music;;;;;;;;;;;;;
brutalism;Brutalism;;;;;;;;;;;;;
brutalism_desc;Brutalism;;;;;;;;;;;;;
graphic_design;Graphic Design;;;;;;;;;;;;;
graphic_design_desc;Graphic Design;;;;;;;;;;;;;
electronic_music;Electronic Music;;;;;;;;;;;;;
electronic_music_desc;Electronic Music;;;;;;;;;;;;;
neo_romanticism;Neoromanticism;;;;;;;;;;;;;
neo_romanticism_desc;Neoromanticism;;;;;;;;;;;;;
logical_empiricism;Neopositivism;;;;;;;;;;;;;
logical_empiricism_desc;Neopositivism;;;;;;;;;;;;;
being_and_nothingness;Being and Nothingness;;;;;;;;;;;;;
being_and_nothingness_desc;Being and Nothingness;;;;;;;;;;;;;
absurdism;Absurdism;;;;;;;;;;;;;
absurdism_desc;Absurdism;;;;;;;;;;;;;
deductive_nomological_model;Deductive-Nomological Model;;;;;;;;;;;;;
deductive_nomological_model_desc;Deductive-Nomological Model;;;;;;;;;;;;;
mass_surveillance;Mass Surveillance;;;;;;;;;;;;;
mass_surveillance_desc;Mass Surveillance;;;;;;;;;;;;;
national_liberation;National Liberation;;;;;;;;;;;;;
national_liberation_desc;National Liberation;;;;;;;;;;;;;
on_guerrilla_warfare;On Guerrilla Warfare;;;;;;;;;;;;;
on_guerrilla_warfare_desc;On Guerrilla Warfare;;;;;;;;;;;;;
anticolonialism;Anticolonialism;;;;;;;;;;;;;
anticolonialism_desc;Anticolonialism;;;;;;;;;;;;;
gas_turbine;Gas Turbine;;;;;;;;;;;;;
gas_turbine_desc;A gas turbine operates via the Brayton Cycle. Air first enters a rotating gas compressor, then fuel is added to the compressed air and combusted, the high pressure exhaust then driving a turbine. The excess heat from the exhaust can be used to drive more power turbines, improving efficiency.;;;;;;;;;;;;;
air_preheater;Air Preheater;;;;;;;;;;;;;
air_preheater_desc;Air preheaters use the hot exhaust of power plant broilers to heat incoming air to improve the thermal efficiency of the plant and can reduce fuel consumption by as much as 25%.;;;;;;;;;;;;;
catalytic_cracking;Catalytic Cracking and Reforming;;;;;;;;;;;;;
catalytic_cracking_desc;Catalytic cracking is the process of converting crude oil into refined petrolium products through the use of catalysts and can create more valuable products than thermal cracking. Catalytic reforming refers to the conversion of low-octane refined fuel into high-octane reformates. Zeolite is the most common cracking catalyst, while platnium and nickel is used for catalytic reforming.;;;;;;;;;;;;;
basic_oxygen_steelmaking;Basic Oxygen Steelmaking;;;;;;;;;;;;;
basic_oxygen_steelmaking_desc;Oxygen is blown across iron to lower its carbon content, producing low-carbon steel, while basic flux such as lime or dolomite is added to reduce impurities.;;;;;;;;;;;;;
kraft_pulping;Kraft Pulping;;;;;;;;;;;;;
kraft_pulping_desc;In the kraft process, wood chips are steamed then saturated with white liquor, a mixture of sodium hydroxide and sodium sulfide, and cooked in pressurized digestors to produce pulp. The leftover fluid, known as black liquor, is concentrated and sodium hydroxide and sodium sulfide are regenerated by chemical processes, which also creates high pressure steam that can be used to generate electricty. Overall, it is a nearly closed-cycle process, a major advantage over the older sulfite process.;;;;;;;;;;;;;
hydrodesulphurization;Hydrodesulphurization;;;;;;;;;;;;;
hydrodesulphurization_desc;Hydrodesulphurization;;;;;;;;;;;;;
synthetic_opioids;Synthetic Opioids;;;;;;;;;;;;;
synthetic_opioids_desc;Synthetic Opioids;;;;;;;;;;;;;
artificial_herbicides;Artifical Herbicides;;;;;;;;;;;;;
artificial_herbicides_desc;Artifical Herbicides;;;;;;;;;;;;;
synthetic_rubber;Synthetic Rubber;;;;;;;;;;;;;
synthetic_rubber_desc;Synthetic Rubber;;;;;;;;;;;;;
polystyrene;Polystyrene;;;;;;;;;;;;;
polystyrene_desc;Polystyrene;;;;;;;;;;;;;
nylon;Nylon;;;;;;;;;;;;;
nylon_desc;Nylon;;;;;;;;;;;;;
industrial_plastics_production;Improved Plastics Production;;;;;;;;;;;;;
industrial_plastics_production_desc;Improved Plastics Production;;;;;;;;;;;;;
rocket_experiments;Rocket Experiments;;;;;;;;;;;;;
rocket_experiments_desc;Rocket Experiments;;;;;;;;;;;;;
diesel_excavator;Diesel Excavator;;;;;;;;;;;;;
diesel_excavator_desc;Diesel Excavator;;;;;;;;;;;;;
improved_hydraulic_drills;Improved Hydraulic Drills;;;;;;;;;;;;;
improved_hydraulic_drills_desc;Improved Hydraulic Drills;;;;;;;;;;;;;
miniature_vacuum_tube;Miniature Vacuum Tube;;;;;;;;;;;;;
miniature_vacuum_tube_desc;Miniature Vacuum Tube;;;;;;;;;;;;;
oscilloscope;Oscilloscope;;;;;;;;;;;;;
oscilloscope_desc;Oscilloscope;;;;;;;;;;;;;
numerical_control;Numerical Control;;;;;;;;;;;;;
numerical_control_desc;Numerical Control;;;;;;;;;;;;;
cavity_magnetron;Cavity Magnetron;;;;;;;;;;;;;
cavity_magnetron_desc;Cavity Magnetron;;;;;;;;;;;;;
general_computer_programming;General Computer Programming;;;;;;;;;;;;;
general_computer_programming_desc;General Computer Programming;;;;;;;;;;;;;
sulfa_antibiotics;Sulfa Antibiotics;;;;;;;;;;;;;
sulfa_antibiotics_desc;Sulfa Antibiotics;;;;;;;;;;;;;
mass_produced_penicillin;Mass Produced Penicillin;;;;;;;;;;;;;
mass_produced_penicillin_desc;Mass Produced Penicillin;;;;;;;;;;;;;
improved_antibiotics;Improved Antibiotics;;;;;;;;;;;;;
improved_antibiotics_desc;Improved Antibiotics;;;;;;;;;;;;;
fleet_auxiliary_carrier_doctrine;Fleet Auxiliary Carrier;;;;;;;;;;;;;
fleet_auxiliary_carrier_doctrine_desc;Fleet Auxiliary Carrier;;;;;;;;;;;;;
indirect_strike_doctrine;Indirect Strike;;;;;;;;;;;;;
indirect_strike_doctrine_desc;Indirect Strike;;;;;;;;;;;;;
carrier_task_force_doctrine;Carrier Task Force;;;;;;;;;;;;;
carrier_task_force_doctrine_desc;Carrier Task Force;;;;;;;;;;;;;
coordinated_strike_doctrine;Coordinated Strike;;;;;;;;;;;;;
coordinated_strike_doctrine_desc;Coordinated Strike;;;;;;;;;;;;;
naval_radar;Naval Radar;;;;;;;;;;;;;
naval_radar_desc;Naval Radar;;;;;;;;;;;;;
super_heavy_main_armament;Super-Heavy Main Armament;;;;;;;;;;;;;
super_heavy_main_armament_desc;Super-Heavy Main Armament;;;;;;;;;;;;;
electronic_fire_control;Electronic Fire Control;;;;;;;;;;;;;
electronic_fire_control_desc;Electronic Fire Control;;;;;;;;;;;;;
dual_purpose_guns;Dual Purpose Guns;;;;;;;;;;;;;
dual_purpose_guns_desc;Dual Purpose Guns;;;;;;;;;;;;;
ducol_steel_armor;Ducol Steel Armor;;;;;;;;;;;;;
ducol_steel_armor_desc;Ducol Steel Armor;;;;;;;;;;;;;
naval_plastic_armor;Naval Plastic Armor;;;;;;;;;;;;;
naval_plastic_armor_desc;Naval Plastic Armor;;;;;;;;;;;;;
acoustic_homing_torpedo;Acoustic Homing Torpedo;;;;;;;;;;;;;
acoustic_homing_torpedo_desc;Acoustic Homing Torpedo;;;;;;;;;;;;;
hydraulic_aircraft_catapult;Hydraulic Aircraft Catapult;;;;;;;;;;;;;
hydraulic_aircraft_catapult_desc;Hydraulic Aircraft Catapult;;;;;;;;;;;;;
naval_fighters;Naval Fighters;;;;;;;;;;;;;
naval_fighters_desc;Naval Fighters;;;;;;;;;;;;;
naval_bombers;Naval Bombers;;;;;;;;;;;;;
naval_bombers_desc;Naval Bombers;;;;;;;;;;;;;
improved_naval_aircraft;Improved Naval Aircraft;;;;;;;;;;;;;
improved_naval_aircraft_desc;Improved Naval Aircraft;;;;;;;;;;;;;
advanced_amphibious_warfare;Advanced Amphibious Warfare;;;;;;;;;;;;;
advanced_amphibious_warfare_desc;Advanced Amphibious Warfare;;;;;;;;;;;;;
computerized_naval_intelligence;Computerized Naval Intelligence;;;;;;;;;;;;;
computerized_naval_intelligence_desc;Computerized Naval Intelligence;;;;;;;;;;;;;
improved_damage_control_training;Improved Damage Control Training;;;;;;;;;;;;;
improved_damage_control_training_desc;Improved Damage Control Training;;;;;;;;;;;;;
modern_naval_operations;Modern Naval Operations;;;;;;;;;;;;;
modern_naval_operations_desc;Modern Naval Operations;;;;;;;;;;;;;
improved_commerce_warfare;Improved Commerce Warfare;;;;;;;;;;;;;
improved_commerce_warfare_desc;Improved Commerce Warfare;;;;;;;;;;;;;
sea_air_integration;Land-Sea Air Integration;;;;;;;;;;;;;
sea_air_integration_desc;Land-Sea Air Integration;;;;;;;;;;;;;
converted_hulk_air_carriers;Converted Hulk Aircraft Carriers;;;;;;;;;;;;;
converted_hulk_air_carriers_desc;Converted Hulk Aircraft Carriers;;;;;;;;;;;;;
purpose_built_air_carriers;Purpose-Built Aircraft Carriers;;;;;;;;;;;;;
purpose_built_air_carriers_desc;Purpose-Built Aircraft Carriers;;;;;;;;;;;;;
light_air_carriers;Light Aircraft Carriers;;;;;;;;;;;;;
light_air_carriers_desc;Light Aircraft Carriers;;;;;;;;;;;;;
fleet_air_carriers;Fleet Aircraft Carriers;;;;;;;;;;;;;
fleet_air_carriers_desc;Fleet Aircraft Carriers;;;;;;;;;;;;;
large_air_carriers;Large Aircraft Carriers;;;;;;;;;;;;;
large_air_carriers_desc;Large Aircraft Carriers;;;;;;;;;;;;;
large_cruisers;Large Cruisers;;;;;;;;;;;;;
large_cruisers_desc;Large Cruisers;;;;;;;;;;;;;
armored_flight_deck;Armored Flight Deck;;;;;;;;;;;;;
armored_flight_deck_desc;Armored Flight Deck;;;;;;;;;;;;;
