Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
trade_zone_1_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_2_0_title;West Shandong Trade;;;;;;;;;;;;;
trade_zone_2_0_desc;The treaty port in West Shandong provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_2_1_title;Extend West Shandong Trade;;;;;;;;;;;;;
trade_zone_2_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_2_2_title;Further Extend West Shandong Trade;;;;;;;;;;;;;
trade_zone_2_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_3_0_title;North Jiangsu Trade;;;;;;;;;;;;;
trade_zone_3_0_desc;The treaty port in North Jiangsu provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_3_1_title;Extend North Jiangsu Trade;;;;;;;;;;;;;
trade_zone_3_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_3_2_title;Further Extend North Jiangsu Trade;;;;;;;;;;;;;
trade_zone_3_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_4_0_title;Jiangsu Trade;;;;;;;;;;;;;
trade_zone_4_0_desc;The treaty port in Jiangsu provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_4_1_title;Extend Jiangsu Trade;;;;;;;;;;;;;
trade_zone_4_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_4_2_title;Further Extend Jiangsu Trade;;;;;;;;;;;;;
trade_zone_4_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_5_0_title;Anhui Trade;;;;;;;;;;;;;
trade_zone_5_0_desc;The treaty port in Anhui provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_5_1_title;Extend Anhui Trade;;;;;;;;;;;;;
trade_zone_5_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_5_2_title;Further Extend Anhui Trade;;;;;;;;;;;;;
trade_zone_5_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_6_0_title;Zhejiang Trade;;;;;;;;;;;;;
trade_zone_6_0_desc;The treaty port in Zhejiang provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_6_1_title;Extend Zhejiang Trade;;;;;;;;;;;;;
trade_zone_6_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_6_2_title;Further Extend Zhejiang Trade;;;;;;;;;;;;;
trade_zone_6_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_7_0_title;Guangdong Trade;;;;;;;;;;;;;
trade_zone_7_0_desc;The treaty port in Guangdong provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_7_1_title;Extend Guangdong Trade;;;;;;;;;;;;;
trade_zone_7_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_7_2_title;Further Extend Guangdong Trade;;;;;;;;;;;;;
trade_zone_7_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_8_0_title;Gaozhou Trade;;;;;;;;;;;;;
trade_zone_8_0_desc;The treaty port in Gaozhou provides an opportunity for $COUNTRY_ADJ$ merchants to enter the large Chinese market. Seeing how weak and ineffective the Chinese government is, it should be easy demanding favored trade access to the interior of China.;;;;;;;;;;;;;
trade_zone_8_1_title;Extend Gaozhou Trade;;;;;;;;;;;;;
trade_zone_8_1_desc;The Chinese government has proven to be weak and ineffective. Our trade rights in China can be extended just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
trade_zone_8_2_title;Further Extend Gaozhou Trade;;;;;;;;;;;;;
trade_zone_8_2_desc;The Chinese government has proven to be weak and ineffective yet again. Our trade rights in China can be extended even further just by applying a little bit of diplomatic pressure.;;;;;;;;;;;;;
force_presidential_dictatorships_be_reactionary_title;Presidential Dictatorships must be Reactionary;;;;;;;;;;;;;
force_presidential_dictatorships_be_reactionary_desc;Presidential Dictatorships must be Reactionary, unless you're the KMT.;;;;;;;;;;;;;
craftsmen_exploit_title;Demote Unaccepted Craftsmen and Clerks;;;;;;;;;;;;;
craftsmen_exploit_desc;For too long, foreigners have been allowed to work in our factories and cities, corrupting our youth with their un-$COUNTRY_ADJ$ ways. We can force these foreign craftsmen and clerks out of our industries, at least in our cores.;;;;;;;;;;;;;
option_enable_craftsmen_exploit_title;Option: Enable Unaccepted Craftsmen and Clerk Demotion;;;;;;;;;;;;;
option_enable_craftsmen_exploit_desc;Enables decision to demote unaccepted craftsmen and clerks in your cores. The decision will become available in Government Decisions.;;;;;;;;;;;;;
kill_emperor_komei_title;Assassinate Emperor Komei;;;;;;;;;;;;;
kill_emperor_komei_desc;Emperor Komei has consistently opposed anti-bakufu forces despite disagreements between him and the Shogun. However, the crown prince is still young and can be manipulated to agree to plans to overthrow the Shogunate. Assassinating Emperor Komei would thus be most opportune in preventing reconciliation between Emperor and Shogun.;;;;;;;;;;;;;
remove_unciv_modifiers_from_civs_title;Civilization Cleanup;;;;;;;;;;;;;
remove_unciv_modifiers_from_civs_desc;There is a civilized nation that has uncivilized modifiers which need to be removed.;;;;;;;;;;;;;
blow_yellow_river_dikes_title;Destroy the Yellow River Dikes?;;;;;;;;;;;;;
blow_yellow_river_dikes_desc;If the dikes, levees, and dams along the Yellow River were to be destroyed, it would create an artificial flood across Henan, Anhui, and Jiangsu that could slow the Japanese advance.;;;;;;;;;;;;;
organize_nigeria_africa_title;Organize Nigeria;;;;;;;;;;;;;
organize_nigeria_africa_desc;The natives and their groups are numerous in Nigeria and they speak a variety of languages, with the main ones being Igbo, Hausa and Yoruba. They span the tropical jungles of the south and of the Niger delta to the savannas in central Nigeria and the harsh semi-arid of the north. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations and mines. Organizing a proper colonial structure in Nigeria will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.\n\n§ROption for expanded mineral production estimated at 200,000¤§W.;;;;;;;;;;;;;
reorganize_sudan_africa_title;Claim Sudan;;;;;;;;;;;;;
reorganize_sudan_africa_desc;From the Sahara desert in the north to the tropical jungles in the south, the colony of $COUNTRY_ADJ$ Sudan was historically tied to the Egyptians in the north. Despite the many tribes that inhabit it, the historical ties and heavy Arab influence made Islam and Arab the main religion and language of the colony. While the the vast landmass of the colony is suitable for a range of cash crops, the relative isolation of the colony means we will need to spend extra to make it into a productive enterprise. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_nigeria_africa_title;Claim Nigeria;;;;;;;;;;;;;
reorganize_nigeria_africa_desc;The natives and their groups are numerous in Nigeria and they speak a variety of languages, with the main ones being Igbo, Hausa and Yoruba. They span the tropical jungles of the south and of the Niger delta to the savannas in central Nigeria and the harsh semi-arid of the north. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations and mines. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.\n\n§ROption for expanded mineral production estimated at 200,000¤§W.;;;;;;;;;;;;;
organize_togo_africa_title;Organize Togo;;;;;;;;;;;;;
organize_togo_africa_desc;The small colony of Togo can prove to be very lucrative despite not being densely populated. A variety of groups inhabit the $COUNTRY_ADJ$ Togo including the Gru, Ewe, Fon and the Kwa, each divided in dozens of tribes and hundreds of strange customs. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. Coffee seems to be the most popular choice of cash crop, though a few evaluated the potential for cotton plantations. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_togo_africa_title;Claim Togo;;;;;;;;;;;;;
reorganize_togo_africa_desc;The small colony of Togo can prove to be very lucrative despite not being densely populated. A variety of groups inhabit the $COUNTRY_ADJ$ Togo including the Gru, Ewe, Fon and the Kwa, each divided in dozens of tribes and hundreds of strange customs. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. Coffee seems to be the most popular choice of cash crop, though a few evaluated the potential for cotton plantations. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_ivory_coast_africa_title;Organize Ivory Coast;;;;;;;;;;;;;
organize_ivory_coast_africa_desc;The dense jungles covering the north of the colony of Ivory Coast are home to a variety of exquisite groups such as the Dyula, the Mande, the Senufo and other Western Nigritic tribes, each with their own subdivisions forming an expansive patchwork of native villages and groups. To the south, in the coast, the jungle gives space for the Kru and the Akan, the main groups in contact with the $COUNTRY_ADJ$ administration. Now with the a large territory firmly in our hands, several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate is suitable for coffee, tobacco and  cotton but there have been reports of great potential for rubber extraction and tropical wood logging. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_ivory_coast_africa_title;Claim Ivory Coast;;;;;;;;;;;;;
reorganize_ivory_coast_africa_desc;The dense jungles covering the north of the colony of Ivory Coast are home to a variety of exquisite groups such as the Dyula, the Mande, the Senufo and other Western Nigritic tribes, each with their own subdivisions forming an expansive patchwork of native villages and groups. To the south, in the coast, the jungle gives space for the Kru and the Akan, the main groups in contact with the $COUNTRY_ADJ$ administration. Now with the a large territory firmly in our hands, several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate is suitable for coffee, tobacco and cotton but there have been reports of great potential for rubber extraction and tropical wood logging. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_sierra_leone_africa_title;Organize Sierra Leone;;;;;;;;;;;;;
organize_sierra_leone_africa_desc;The jungles of the south slowly give up way to the bushlands and sparse forests that finally turn into savannas in the north. Sierra Leone is a small but diverse colony, with the main groups in contact with the $COUNTRY_ADJ$ administration being the ones speaking Mende and Temne languages. Now with the colony officially organized as part of the great $COUNTRY_ADJ$ empire, several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate is suitable for coffee and cotton but there have been reports of potential for other fruits and grain, as well as some mineral riches. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_sierra_leone_africa_title;Claim Sierra Leone;;;;;;;;;;;;;
reorganize_sierra_leone_africa_desc;The jungles of the south slowly give up way to the bushlands and sparse forests that finally turn into savannas in the north. Sierra Leone is a small but diverse colony, with the main groups in contact with the $COUNTRY_ADJ$ administration being the ones speaking Mende and Temne languages. Now with the colony officially organized as part of the great $COUNTRY_ADJ$ empire, several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate is suitable for coffee and cotton but there have been reports of potential for other fruits and grain, as well as some mineral riches. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_guinea_africa_title;Organize Guinea;;;;;;;;;;;;;
organize_guinea_africa_desc;Home to a long history of Islamic influence, the colony of Guinea was the scene of great strife between Jallon and the Wassoulou states, as well as the Mandinka and Fula peoples that inhabit it. Right now the $COUNTRY_ADJ$ colonial administration maintains the peace in a territory that is roughly the size of the island of British Islands, excluding Ireland. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate and mountainous geography make the colony suitable for coffee and cotton, and there are reports of great rubber extraction potential. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_guinea_africa_title;Claim Guinea;;;;;;;;;;;;;
reorganize_guinea_africa_desc;Home to a long history of Islamic influence, the colony of Guinea was the scene of great strife between Jallon and the Wassoulou states, as well as the Mandinka and Fula peoples that inhabit it. Right now the $COUNTRY_ADJ$ colonial administration maintains the peace in a territory that is roughly the size of the island of British Islands, excluding Ireland. Several private companies as well as the $COUNTRY_ADJ$ government commissioned charters and maps to assess the potential, both agricultural as well as mineral, of the colony and in $CAPITAL$ several companies expressed their interest in opening new plantations. The climate and mountainous geography make the colony suitable for coffee and cotton, and there are reports of great rubber extraction potential. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_senegal_africa_title;Organize Senegal;;;;;;;;;;;;;
organize_senegal_africa_desc;The arid Senegal has long been in contact with the Europe as merchants looking for trade and slaves stopped along its shores. Divided politically in several kingdoms, it was once home to a Wolof state spanned through most of the now $COUNTRY_ADJ$ colony. The Wolof, Mandinka, Fula and Serer peoples are the main inhabitants of the colony and they live in northern Sahelian landscape and in the southern tropical rainforests. Our surveys indicate that there's great potential for rubber extraction and coffee plantation, as well as some precious metals somewhere in the interior. Other products such as fruits and cotton might also be viable crops albeit in a smaller scale. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_senegal_africa_title;Claim Senegal;;;;;;;;;;;;;
reorganize_senegal_africa_desc;The arid Senegal has long been in contact with the Europe as merchants looking for trade and slaves stopped along its shores. Divided politically in several kingdoms, it was once home to a Wolof state spanned through most of the now $COUNTRY_ADJ$ colony. The Wolof, Mandinka, Fula and Serer peoples are the main inhabitants of the colony and they live in northern Sahelian landscape and in the southern tropical rainforests. Our surveys indicate that there's great potential for rubber extraction and coffee plantation, as well as some precious metals somewhere in the interior. Other products such as fruits and cotton might also be viable crops albeit in a smaller scale. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_niger_africa_title;Organize Niger;;;;;;;;;;;;;
organize_niger_africa_desc;The mostly Sahelian colony of $COUNTRY_ADJ$ Niger was once part of the mighty Mali empire, but its struggles with the Kanem-Bornu which also held the land left it mostly lawless until the arrival of the $COUNTRY_ADJ$ administration. Arab influence ensures that Islam is the biggest religion and that Arabic is the lingua franca of the colony, but local languages of prominence include the Hausa and the Buduma, as well as the Kanuri of the desert and the Songhai. Our surveyors report  that the north of the colony transitions from the semi-arid Sahel savannas to the Sahara desert while the south has more fertile lands, with possible production of peanuts and cotton, as well as cattle and other livestock. Despite this, the potential for agricultural output is low as the country is mostly arid. All that remains now is to organize the colonial structure in a $COUNTRY_ADJ$ model that will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_niger_africa_title;Claim Niger;;;;;;;;;;;;;
reorganize_niger_africa_desc;The mostly Sahelian colony of $COUNTRY_ADJ$ Niger was once part of the mighty Mali empire, but its struggles with the Kanem-Bornu which also held the land left it mostly lawless until the arrival of the $COUNTRY_ADJ$ administration. Arab influence ensures that Islam is the biggest religion and that Arabic is the lingua franca of the colony, but local languages of prominence include the Hausa and the Buduma, as well as the Kanuri of the desert and the Songhai. Our surveyors report  that the north of the colony transitions from the semi-arid Sahel savannas to the Sahara desert while the south has more fertile lands, with possible production of peanuts and cotton, as well as cattle and other livestock. Despite this, the potential for agricultural output is low as the country is mostly arid. All that remains now is to reorganize the colonial structure in a $COUNTRY_ADJ$ model that will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_chad_africa_title;Organize Chad;;;;;;;;;;;;;
organize_chad_africa_desc;Part Sahara desert and part jungle, the arid $COUNTRY_ADJ$ colony of Chad has been a stop on the Arab caravans crossing the Sahara to the heart of Africa for centuries. As a result, Arabic is one of the main languages spoken throughout the land, together with Sara and Kanembu. In $CAPITAL$, $COUNTRY_ADJ$ surveyors report that the southern jungles and fields can be used for agriculture, and are home to cotton which is indigenous to the region. However, it doesn't seem like the colony will be good for much else. Organizing the colony of $COUNTRY_ADJ$ Chad will allow us to tap in the cotton-production potential.;;;;;;;;;;;;;
reorganize_chad_africa_title;Claim Chad;;;;;;;;;;;;;
reorganize_chad_africa_desc;Part Sahara desert and part jungle, the arid $COUNTRY_ADJ$ colony of Chad has been a stop on the Arab caravans crossing the Sahara to the heart of Africa for centuries. As a result, Arabic is one of the main languages spoken throughout the land, together with Sara and Kanembu. In $CAPITAL$, $COUNTRY_ADJ$ surveyors report that the southern jungles and fields can be used for agriculture, and are home to cotton which is indigenous to the region. However, it doesn't seem like the colony will be good for much else. Reorganizing the colony of $COUNTRY_ADJ$ Chad will allow us to tap in the cotton-production potential.;;;;;;;;;;;;;
organize_cameroon_africa_title;Organize Cameroon;;;;;;;;;;;;;
organize_cameroon_africa_desc;$COUNTRY_ADJ$ Cameroon is a large colony in the heart of Africa, with a multitude of tribes and languages spoken in its territory. It's hard to pinpoint a main language, and the landscape is equally diverse with highlands, jungles and savannas crisscrossing the colony. Our surveys indicate that there's great potential for cash crops, especially coffee and cotton. Rubber extraction is another activity that can be of great profit to us. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_cameroon_africa_title;Claim Cameroon;;;;;;;;;;;;;
reorganize_cameroon_africa_desc;$COUNTRY_ADJ$ Cameroon is a large colony in the heart of Africa, with a multitude of tribes and languages spoken in its territory. It's hard to pinpoint a main language, and the landscape is equally diverse with highlands, jungles and savannas crisscrossing the colony. Our surveys indicate that there's great potential for cash crops, especially coffee and cotton. Rubber extraction is another activity that can be of great profit to us. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_gabon_africa_title;Organize Gabon;;;;;;;;;;;;;
organize_gabon_africa_desc;The small colony of $COUNTRY_ADJ$ Gabon lies in the heart of Africa and is virtually covered by tropical jungles. Dominated by the Fang and Punu peoples, not much can be grown in the thick jungle but much can be gained from the ivory trade as well as from rubber extraction. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_gabon_africa_title;Claim Gabon;;;;;;;;;;;;;
reorganize_gabon_africa_desc;The small colony of $COUNTRY_ADJ$ Gabon lies in the heart of Africa and is virtually covered by tropical jungles. Dominated by the Fang and Punu peoples, not much can be grown in the thick jungle but much can be gained from the ivory trade as well as from rubber extraction. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of    the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_congo_africa_title;Organize Congo;;;;;;;;;;;;;
organize_congo_africa_desc;In the heart of the African jungle lies the colony of $COUNTRY_ADJ$ Congo, taking its name from the river Congo. Kongo, Sangha and Teke are the main spoken languages in the jungle-covered colony. There isn't much arable land but the little it has can be used for Coffee. Rubber extraction and tropical wood are also economic activities that might bring profit. Organizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
reorganize_congo_africa_title;Claim Congo;;;;;;;;;;;;;
reorganize_congo_africa_desc;In the heart of the African jungle lies the colony of $COUNTRY_ADJ$ Congo, taking its name from the river Congo. Kongo, Sangha and Teke are the main spoken languages in the jungle-covered colony. There isn't much arable land but the little it has can be used for Coffee. Rubber extraction and tropical wood are also economic activities that might bring profit. Reorganizing the colonial structure in a $COUNTRY_ADJ$ model will allow us to reap the benefits of the new colony and guide its production - for the greater benefit of $COUNTRY$.;;;;;;;;;;;;;
organize_zaire_africa_title;Organize Congo Free State;;;;;;;;;;;;;
organize_zaire_africa_desc;The biggest colonial a country has in Africa, the $COUNTRY_ADJ$ Congo Free State, lies in the heart of Africa. The colony is a vast landmass covered by jungles, highlands and plains that are home to innumerous tribes, speaking hundreds of languages. Cataloguing, organizing and delineating the borders and institutions of this colony will be a daunting task but one that promises high rewards - just the little that reached $CAPITAL$ have dozens of prominent companies excited about the business opportunities and the riches hidden deep within the colonial territory. There's talks of profits in the ivory, gold, silver and diamond trades as well as coal and iron deposits and suitable environments for the plantation of coffee, cocoa, tea and cotton, not to mention the gigantic potential for rubber extraction.;;;;;;;;;;;;;
reorganize_zaire_africa_title;Claim Congo Free State;;;;;;;;;;;;;
reorganize_zaire_africa_desc;The biggest colonial a country has in Africa, the $COUNTRY_ADJ$ Congo Free State, lies in the heart of Africa. The colony is a vast landmass covered by jungles, highlands and plains that are home to innumerous tribes, speaking hundreds of languages. Reorganizing and delineating the borders and institutions of this colony will be a daunting task but one that promises high rewards - just the little that reached $CAPITAL$ have dozens of prominent companies excited about the business opportunities and the riches hidden deep within the colonial territory. There's talks of profits in the ivory, gold, silver and diamond trades as well as coal and iron deposits and suitable environments for the plantation of coffee, cocoa, tea and cotton, not to mention the gigantic potential for rubber extraction.;;;;;;;;;;;;;
organize_zambia_africa_title;Organize Zambia;;;;;;;;;;;;;
